                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93523,                 1.0445,                 1.2298,                 0.6279,                0.73214,                0.67454,                0.47555,                 1.3074,                 1.4333,                 1.6534,              0.0011059,              0.0011059,              0.0011059
                     36,                0.87138,                 1.0747,                 1.2292,                 0.8446,                0.62565,                0.68686,                0.46446,                 1.3207,                 1.4733,                 1.6043,              0.0010894,              0.0010894,              0.0010894
                     37,                0.83755,                0.99591,                 1.1964,                0.91568,                0.57744,                0.66908,                0.48983,                 1.2123,                 1.4664,                 1.5257,              0.0010729,              0.0010729,              0.0010729
                     38,                 0.8541,                 1.0329,                 1.2128,                0.66288,                0.53782,                0.61846,                0.43924,                  1.232,                 1.6317,                 1.5187,              0.0010564,              0.0010564,              0.0010564
                     39,                0.80431,                0.97963,                  1.187,                 0.7349,                0.62605,                0.66098,                0.46293,                 1.2823,                 1.4704,                 1.5876,              0.0010399,              0.0010399,              0.0010399
                     40,                0.85718,                 1.0496,                 1.2247,                0.80396,                0.60673,                0.67888,                0.48172,                  1.258,                 1.5357,                 1.5974,              0.0010234,              0.0010234,              0.0010234
                     41,                0.83535,                0.95049,                 1.1914,                0.83784,                0.63581,                0.63811,                0.43243,                  1.276,                 1.5425,                 1.6336,              0.0010069,              0.0010069,              0.0010069
                     42,                0.81916,                 0.9564,                 1.1889,                0.66436,                0.65546,                0.64457,                0.44783,                 1.3524,                 1.5688,                 1.6947,             0.00099036,             0.00099036,             0.00099036
                     43,                 0.7756,                  0.891,                 1.1706,                0.78345,                0.69396,                0.67729,                0.48946,                 1.3128,                 1.4078,                 1.6617,             0.00097386,             0.00097386,             0.00097386
                     44,                0.81606,                0.93455,                 1.1836,                0.83826,                 0.6838,                0.68731,                 0.4923,                 1.2603,                 1.3778,                 1.6041,             0.00095736,             0.00095736,             0.00095736
                     45,                0.85601,                0.92864,                 1.2094,                0.89379,                0.68487,                0.68787,                0.49368,                 1.2599,                 1.4456,                 1.5987,             0.00094085,             0.00094085,             0.00094085
                     46,                0.87292,                0.92168,                  1.223,                0.92396,                0.60386,                0.67672,                0.49118,                 1.2386,                 1.4813,                 1.5996,             0.00092435,             0.00092435,             0.00092435
                     47,                0.83804,                 0.9931,                 1.1988,                0.85845,                0.62605,                0.68324,                0.47949,                 1.2358,                 1.4922,                 1.5902,             0.00090785,             0.00090785,             0.00090785
                     48,                0.74357,                0.88723,                 1.1446,                0.69454,                0.66742,                0.68438,                0.46479,                 1.3405,                 1.5332,                 1.6683,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.8172,                0.91261,                 1.1771,                0.79527,                0.68487,                0.69019,                 0.4833,                 1.2789,                 1.4306,                 1.5784,             0.00087484,             0.00087484,             0.00087484
                     50,                 0.7959,                0.85637,                 1.1676,                0.89364,                0.69218,                0.70458,                0.50938,                 1.2276,                 1.4463,                 1.6127,             0.00085834,             0.00085834,             0.00085834
                     51,                0.75156,                0.83189,                 1.1404,                0.85523,                0.70748,                0.69452,                0.50749,                 1.2362,                  1.425,                 1.6064,             0.00084184,             0.00084184,             0.00084184
                     52,                0.78863,                0.82215,                 1.1571,                0.87031,                0.68487,                0.68106,                0.48617,                  1.227,                 1.4492,                 1.5959,             0.00082533,             0.00082533,             0.00082533
                     53,                0.77782,                0.83468,                 1.1381,                0.81772,                0.69494,                0.66429,                0.47194,                 1.2914,                 1.4979,                 1.6698,             0.00080883,             0.00080883,             0.00080883
                     54,                0.73311,                0.84083,                 1.1283,                0.90163,                 0.6675,                0.69074,                0.49365,                 1.2799,                 1.4754,                 1.6528,             0.00079233,             0.00079233,             0.00079233
                     55,                0.79828,                0.87921,                 1.1782,                0.92595,                0.65844,                  0.696,                0.50524,                 1.2301,                 1.4093,                 1.6021,             0.00077582,             0.00077582,             0.00077582
                     56,                0.72808,                0.83275,                 1.1167,                0.81771,                0.66702,                0.64759,                0.49004,                 1.1862,                 1.4272,                 1.5392,             0.00075932,             0.00075932,             0.00075932
                     57,                0.71829,                0.81364,                 1.1225,                0.73427,                0.62605,                0.66441,                0.49561,                 1.2226,                 1.5035,                 1.5273,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.7725,                0.80445,                  1.146,                0.73734,                0.65546,                0.68218,                0.51542,                 1.2179,                 1.4176,                 1.5435,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.6983,                0.77402,                 1.0979,                0.76223,                0.64447,                0.70513,                0.53433,                 1.2324,                 1.3895,                 1.5706,             0.00070981,             0.00070981,             0.00070981
                     60,                0.72026,                0.78813,                 1.1403,                0.92235,                0.62574,                0.70013,                0.51832,                 1.2513,                 1.3927,                 1.6102,             0.00069331,             0.00069331,             0.00069331
                     61,                0.75089,                0.83457,                  1.148,                0.76444,                 0.6911,                0.70111,                0.53538,                 1.2155,                 1.4165,                 1.5332,              0.0006768,              0.0006768,              0.0006768
